timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-03-03,23465.32000000,23476.95000000,21971.13000000,22354.34000000,319954.19785000,2023-03-03 23:59:59.999,7167184765.74364950,8214639,156827.31366000,3512245357.18619130,0
2023-03-04,22354.34000000,22410.00000000,22157.08000000,22346.57000000,121257.38132000,2023-03-04 23:59:59.999,2706422995.68025610,4169260,60043.33153000,1340204531.15407010,0
2023-03-05,22346.57000000,22662.09000000,22189.22000000,22430.24000000,154841.75786000,2023-03-05 23:59:59.999,3473011455.18795160,4835978,77394.35765000,1735989090.89956100,0
2023-03-06,22430.24000000,22602.19000000,22258.00000000,22410.00000000,203751.82957000,2023-03-06 23:59:59.999,4569102169.18569090,6471278,102110.26304000,2289889200.16671640,0
2023-03-07,22409.41000000,22557.91000000,21927.00000000,22197.96000000,292519.80912000,2023-03-07 23:59:59.999,6517594938.24605280,7813394,145498.64219000,3242136502.65467320,0
2023-03-08,22198.56000000,22287.00000000,21580.00000000,21705.44000000,301460.57272000,2023-03-08 23:59:59.999,6641171704.24242130,8018963,150008.02488000,3304860256.10499370,0
2023-03-09,21704.37000000,21834.99000000,20042.72000000,20362.22000000,443658.28584000,2023-03-09 23:59:59.999,9403028764.70777380,10076702,217900.59621000,4619803522.04323720,0
2023-03-10,20362.21000000,20367.78000000,19549.09000000,20150.69000000,618456.46710000,2023-03-10 23:59:59.999,12344992788.91249570,12106261,308155.80993000,6151475123.53551420,0
2023-03-11,20150.69000000,20686.51000000,19765.03000000,20455.73000000,427831.82133000,2023-03-11 23:59:59.999,8651590672.46852580,10412300,213151.47855000,4310534195.90929190,0
2023-03-12,20455.73000000,22150.00000000,20270.60000000,21997.11000000,430944.94288000,2023-03-12 23:59:59.999,8982418413.80113910,9721933,218639.06880000,4558127964.92580440,0
2023-03-13,21998.05000000,24500.00000000,21813.88000000,24113.48000000,687889.31259000,2023-03-13 23:59:59.999,15824996078.60563840,14820760,346688.17025000,7976620081.70609870,0
2023-03-14,24112.27000000,26386.87000000,23976.42000000,24670.41000000,699360.93423000,2023-03-14 23:59:59.999,17465307097.88407330,15223589,351739.11994000,8783916247.67613780,0
2023-03-15,24670.41000000,25196.97000000,23896.95000000,24285.66000000,581450.72984000,2023-03-15 23:59:59.999,14291005743.89785140,12613034,291192.86696000,7157472156.96233370,0
2023-03-16,24285.66000000,25167.40000000,24123.00000000,24998.78000000,439421.32998000,2023-03-16 23:59:59.999,10847330151.94100580,10418081,220403.30289000,5441432259.26084610,0
2023-03-17,24998.78000000,27756.84000000,24890.00000000,27395.13000000,624460.68091000,2023-03-17 23:59:59.999,16476681071.24337980,13113359,318022.61356000,8392477832.00232200,0
2023-03-18,27395.13000000,27724.85000000,26578.00000000,26907.49000000,371238.97174000,2023-03-18 23:59:59.999,10135945069.64262880,9948603,185687.70768000,5070480124.59387840,0
2023-03-19,26907.49000000,28390.10000000,26827.22000000,27972.87000000,372066.99054000,2023-03-19 23:59:59.999,10264707987.59416350,9578297,188150.56147000,5191102286.40091840,0
2023-03-20,27972.87000000,28472.00000000,27124.47000000,27717.01000000,477378.23373000,2023-03-20 23:59:59.999,13300424536.51492210,11775950,239765.29148000,6680704887.53214600,0
2023-03-21,27717.01000000,28438.55000000,27303.10000000,28105.47000000,420929.74220000,2023-03-21 23:59:59.999,11760492716.33759010,11530870,210472.34027000,5880942507.63001030,0
2023-03-22,28107.81000000,28868.05000000,26601.80000000,27250.97000000,224113.41296000,2023-03-22 23:59:59.999,6272099822.44962380,3589327,110355.97386000,3089585214.11506410,0
2023-03-23,27250.97000000,28750.00000000,27105.00000000,28295.41000000,128649.60818000,2023-03-23 23:59:59.999,3591123573.11495830,2159091,65172.02479000,1819323637.29034450,0
2023-03-24,28295.42000000,28374.30000000,27000.00000000,27454.47000000,86242.06544000,2023-03-24 23:59:59.999,2403443392.02730140,1511137,41449.56122000,1155147465.73899320,0
2023-03-25,27454.46000000,27787.33000000,27156.09000000,27462.95000000,50844.08102000,2023-03-25 23:59:59.999,1397227639.21413780,1088721,25326.94876000,696042529.08396240,0
2023-03-26,27462.96000000,28194.40000000,27417.76000000,27968.05000000,49671.70353000,2023-03-26 23:59:59.999,1380973402.99612050,1068196,25248.15818000,702028235.05732650,0
2023-03-27,27968.05000000,28023.86000000,26508.14000000,27124.91000000,88039.46898000,2023-03-27 23:59:59.999,2407130888.03460520,1575264,43151.91539000,1179905180.61352780,0
